Kevin Huerter,G,27.3,0.732,0.521,9.7,3.3,2.9,0.88,0.33
Isaac Humphries,C,11.3,0,0.357,3,2.2,0,0.2,0
RJ Hunter,G,25.7,0.5,0.615,17,3,3,1,0
Chandler Hutchison,F,20.3,0.605,0.493,5.2,4.2,0.8,0.52,0.14
Serge Ibaka,F-C,27.2,0.763,0.557,15,8.1,1.3,0.39,1.38
Andre Iguodala,G-F,23.2,0.582,0.579,5.7,3.7,3.2,0.9,0.75
Ersan Ilyasova,F,18.4,0.824,0.514,6.8,4.5,0.8,0.48,0.3
Joe Ingles,F,31.3,0.707,0.565,12.1,4,5.7,1.18,0.24
Andre Ingram,G,3.7,0,0,0,0.5,0,0.25,0
Brandon Ingram,F,33.9,0.675,0.519,18.3,5.2,3,0.54,0.6
Kyrie Irving,G,33,0.873,0.557,23.8,5,6.9,1.55,0.51
Jonathan Isaac,F,26.6,0.815,0.499,9.6,5.5,1.1,0.79,1.29
Wes Iwundu,F,18.1,0.816,0.465,5,2.7,1.1,0.41,0.32
Jaren Jackson Jr.,F-C,26.1,0.766,0.548,13.8,4.7,1.1,0.9,1.41
Demetrius Jackson,G,6.6,1,0.6,3.7,0.5,0.8,0.33,0
Frank Jackson,G,19.2,0.74,0.492,8.1,2.2,1.1,0.41,0.03
Josh Jackson,F,25.2,0.671,0.456,11.5,4.4,2.3,0.92,0.71
Justin Jackson,F,20.8,0.82,0.517,6.7,2.8,1.3,0.44,0.25
Justin Jackson,F,18.3,0.724,0.568,8.2,2.3,1,0.31,0.03
Reggie Jackson,G,27.9,0.864,0.504,15.4,2.6,4.2,0.66,0.11
LeBron James,F,35.2,0.665,0.56,27.4,8.4,8.3,1.31,0.6
Amile Jefferson,F,5.7,0.875,0.625,2.3,1.8,0.3,0.25,0.25
John Jenkins,G,3.6,0,1.5,1.5,0.3,0.3,0,0
John Jenkins,G,14.5,0.833,0.485,5.2,1.6,1,0,0.09
Jonas Jerebko,F,16.7,0.8,0.556,6.3,3.9,1.3,0.37,0.25
Alize Johnson,F,4.6,0.5,0.281,0.9,1.4,0.1,0.07,0.21
Amir Johnson,C-F,10.4,0.756,0.541,3.9,2.9,1.2,0.31,0.27
BJ Johnson,F,7.2,1,0.594,3.5,1.3,0,0.33,0
